ID,First author,Pub. year,Journal,Region,Start Year,End,Period,Season,Research type,Technique,Livestock,Livestock Sub,Collection Setting,Feed additives,Manure type,Treatment,GHG source,Field crop,CO2,CH4,N2O,NH3
128,Stewart,2014,Canadian Journal of Animal Science,Manitoba,2004,2006,Multiple Years,Year-Round,Farm,Mixed,Beef Cattle,Steers,Mixed,NA,"Liquid, Solid",NA,"Storage, Field, Enteric",Grass,F,T,T,T
129,Rochette,2014,Journal of Environmental Quality,Quebec,2009,2011,Single Year,Growing,Field,Soil chamber,Dairy Cattle,Cows,Indoor,NA,"Liquid, Solid",NA,Field,Grass,F,F,T,F
130,Hunerberg,2014,Agricultural Systems,Alberta,2008,2012,Single Year,Year-Round,LCA,Mixed,Beef Cattle,Whole herd,Mixed,Diet,"Liquid, Solid",NA,"Enteric, Field, Storage","Grass, Annual crop",F,T,T,F
131,Gao,2014,Canadian Journal of Soil Science,Manitoba,2006,2007,Multiple Years,Growing,Field,Soil chamber,Swine,"Growers, Finishers",Indoor,NA,Liquid,NA,Field,Annual crop,T,T,T,F
132,Asgedom,2014,Agronomy Journal,Manitoba,2009,2010,Multiple Years,Growing,Field,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,Solid,Stockpile,Field,Annual crop,F,F,T,F
133,Tartakovsky,2014,Journal of Chemical Technology and Biotechnology,Quebec,NA,NA,Single Year,NA,Lab,Incubation,Dairy Cattle,Cows,Indoor,NA,Liquid,"Digester, Agitation",Storage,NA,T,T,F,F
134,Ngwabie,2014,Biosystems Engineering,Ontario,2012,2012,Single Year,Non-Growing,Farm,"Micrometeorology, Modelling",Dariy Cattle,Whole herd,Indoor,NA,"Liquid, Solid",NA,"Enteric, Storage",NA,T,T,T,T
135,VanderZaag,2014,Agricultural and Forest Meteorology,Ontario,2011,2012,Single Year,Non-Growing,Farm,Micrometeorology,Dairy Cattle,Whole herd,Indoor,NA,"Liquid, Solid",NA,"Storage, Enteric",NA,F,T,F,F
136,Rees,2014,Canadian Journal of Soil Science,New Brunswick,2001,2003,Multiple Years,Growing,Lab,Incubation,"Poultry, Swine",Whole herd,Indoor,NA,Solid,NA,Field,NA,T,F,F,F
137,Wood,2014,Nutrient Cycling in Agroecosystems,Nova Scotia,2011,2011,Single Year,Growing,Pilot,Soil chamber,Dairy Cattle,Cows,Indoor,NA,Liquid,NA,Storage,NA,F,T,T,T
138,Drury,2014,Canadian Journal of Soil Science,Ontario,1999,2001,Multiple Years,Growing,Field,Soil chamber,Swine,Whole herd,Indoor,NA,Liquid,Compost,Field,Annual crop,T,F,T,F
139,Jayasundara,2014,Canadian Journal of Animal Science,Ontario,1999,2011,Multiple Years,Year-Round,LCA,Mixed,Dairy Cattle,Whole herd,Indoor,NA,"Liquid, Solid",NA,"Enteric, Storage",Annual crop,F,T,T,F
140,Masse,2014,Applied Energy,Quebec,NA,NA,Single Year,NA,Lab,Incubation,Swine,Whole herd,Indoor,NA,Liquid,Digester,Storage,NA,T,T,F,T
141,Taylor,2013,Agricultural and Forest Meteorology,Manitoba,2009,2011,Multiple Years,Growing,Field,Micrometeorology,Beef Cattle,"Cows, Calves",Outdoor,NA,"Liquid, Solid",NA,Field,Annual crop,T,F,F,F
142,Masse,2013,Environmental Technology,Quebec,NA,NA,Single Year,Year-Round,Lab,Incubation,Swine,Growers,Indoor,NA,Liquid,Digester,Storage,NA,F,T,F,F
143,Fraser,2013,Canadian Journal of Soil Science,Manitoba,2009,2009,Single Year,Year-Round,Field,Micrometeorology,Beef Cattle,"Cows, Calves",Outdoor,NA,"Liquid, Solid",NA,Field,"Grass, Annual crop",T,F,F,F
144,Giard,2013,Environmental Technology,Quebec,2010,2010,Single Year,Growing,Farm,Soil chamber,Swine,Growers,Indoor,NA,Liquid,Digester,Storage,NA,T,T,F,F
145,Zhang,2013,Bioresource Technology,British Columbia,2006,2006,Single Year,Year-Round,LCA,Mixed,"Dairy Cattle, Swine, Poultry",Whole herd,Indoor,NA,Liquid,NA,"Storage, Enteric",NA,F,T,T,T
146,Flesch,2013,Canadian Journal of Animal Science,Alberta,2010,2011,Single Year,Year-Round,Farm,Micrometeorology,Swine,Whole herd,Indoor,NA,Liquid,NA,Storage,NA,F,T,F,F
147,Hassanat,2013,Journal of Dairy Science,Quebec,NA,NA,Single Year,NA,Farm,Animal chamber,Dairy Cattle,Cows,Indoor,Diet,"Liquid, Solid",NA,Enteric,NA,F,T,F,F
148,Wood,2013,Agricultural and Forest Meteorology,Nova Scotia,2010,2010,Single Year,Growing,Pilot,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,Liquid,NA,Storage,NA,F,T,T,F
149,Barret,2013,Water Research,Quebec,2010,2011,Single Year,Year-Round,Lab,Incubation,"Swine, Dairy Cattle",Whole herd,Indoor,NA,Liquid,"Agitation, Digester",Storage,NA,F,T,F,F
150,Saady,2013,Bioresource Technology,Quebec,NA,NA,Single Year,NA,Lab,Incubation,Dairy Cattle,Whole herd,Indoor,NA,Liquid,Digester,Storage,NA,F,T,F,F
151,Chantigny,2013,Journal of Environmental Quality,Quebec,2006,2007,Multiple Years,Growing,Field,Soil chamber,Swine,Whole herd,Indoor,NA,Liquid,Digester,Field,Annual crop,F,F,T,F
152,Miller,2012,Canadian Journal of Soil Science,Alberta,2007,2010,Multiple Years,Growing,Lab,Incubation,Beef Cattle,Whole herd,Indoor,NA,Solid,"Compost, Stockpile",Field,Annual crop,F,F,T,F
153,Wood,2012,Journal of Environmental Quality,Nova Scotia,2010,2010,Single Year,Growing,Pilot,Soil chamber,Dairy Cattle,Cows,Indoor,NA,Liquid,NA,Storage,NA,F,T,T,T
154,Girard,2012,Journal of Chemical Technology and Biotechnology,Quebec,NA,NA,Single Year,NA,Lab,Incubation,Swine,Whole herd,Indoor,NA,Liquid,Solid-Liquid Separation,Storage,NA,F,T,F,F
155,Frigon,2012,Bioprocess and Biosystems Engineering,Quebec,2008,2008,Single Year,NA,Lab,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,Liquid,Digester,Storage,NA,F,T,F,F
156,Kariyapperuma,2012,Canadian Journal of Soil Science,Ontario,2005,2006,Multiple Years,Non-Growing,Field,Micrometeorology,Swine,Whole herd,Indoor,NA,"Liquid, Solid",Compost,Field,Annual crop,F,F,T,F
157,McGinn,2012,Journal of Environmental Quality,Alberta,2004,2005,Single Year,Year-Round,Farm,Micrometeorology,Dairy Cattle,Whole herd,Mixed,NA,"Liquid, Solid",NA,"Enteric, Storage",NA,F,T,F,F
158,Basarab,2012,Animals,Alberta,2008,2010,Single Year,Year-Round,LCA,Mixed,Beef Cattle,Whole herd,Mixed,NA,"Liquid, Solid",Digester,"Enteric, Storage, Field","Annual crop, Grass",F,T,T,F
159,Fournel,2012,Animals,Quebec,NA,NA,Single Year,NA,Farm,Animal chamber,Poultry,Layers,Indoor,NA,Liquid,NA,Storage,NA,T,T,T,F
160,Pelster,2012,Journal of Environmental Quality,Quebec,2009,2010,Multiple Years,Growing,Field,Soil chamber,"Swine, Dairy Cattle, Poultry","Whole herd, Broilers, Finishers, Growers",Indoor,NA,Liquid,NA,Field,Annual crop,T,F,T,F
161,Xia,2012,Waste Management,Quebec,NA,NA,Single Year,NA,Lab,Incubation,Swine,Whole herd,Indoor,NA,Liquid,Digester,Storage,NA,T,T,F,F
162,Tremorin,2012,Animal Feed Science and Technology,Manitoba,2004,2005,Multiple Years,Growing,Field,Soil chamber,Beef Cattle,Steers,Outdoor,NA,Solid,NA,Field,Grass,F,F,T,F
163,VanderZaag,2011,Animal Feed Science and Technology,Ontario,2003,2003,Single Year,Year-Round,Farm,Micrometeorology,Dairy Cattle,"Cows, Heifers",Indoor,NA,Liquid,NA,Storage,NA,F,T,F,F
164,Flesch,2011,Biomass and Bioenergy,Alberta,2008,2009,Single Year,Year-Round,Farm,Micrometeorology,Beef Cattle,Whole herd,Indoor,NA,"Liquid, Solid",Digester,Storage,NA,F,T,F,F
165,Hao,2011,Animal Feed Science and Technology,Alberta,2009,2010,Single Year,Non-Growing,Farm,Soil chamber,Beef Cattle,Whole herd,Indoor,Diet,Solid,Compost,Storage,NA,T,T,T,F
166,Chiyoka,2011,Animal Feed Science and Technology,Alberta,NA,NA,Single Year,NA,Lab,Incubation,Beef Cattle,Whole herd,Indoor,NA,"Liquid, Solid","Digester, Solid-liquid Separation, Pellet",Field,NA,T,F,T,F
167,Hao,2011,Nutrient Cycling in Agroecosystems,Alberta,2004,2006,Multiple Years,Year-Round,Farm,Soil chamber,Beef Cattle,Whole herd,Outdoor,Antibiotics,Solid,Compost,Storage,NA,T,T,T,F
168,Hao,2011,Nutrient Cycling in Agroecosystems,Alberta,2007,2007,Single Year,Growing,Farm,Soil chamber,Beef Cattle,Whole herd,Outdoor,NA,Solid,"Compost, Stockpile",Storage,NA,T,T,T,F
169,Beauchemin,2010,Agricultural Systems,Alberta,2001,2008,Multiple Years,Year-Round,LCA,Mixed,Beef Cattle,Whole herd,Indoor,NA,"Liquid, Solid",NA,"Storage, Field, Enteric","Annaual crop, Grass",F,T,T,F
170,VanderZaag,2010,Applied Engineering in Agriculture,Nova Scotia,2008,2008,Single Year,Growing,Pilot,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,Liquid,"Agitation, Cover",Storage,NA,T,T,T,T
171,VanderZaag,2010,Canadian Journal of Soil Science,Nova Scotia,2006,2007,Single Year,Non-Growing,Pilot,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,Liquid,Agitation,Storage,NA,T,T,T,T
172,MacDonald,2010,Journal of Environmental Quality,Quebec,2007,2008,Multiple Years,Growing,Field,Soil chamber,Swine,Whole herd,Indoor,NA,Liquid,NA,Field,Grass,T,F,F,F
173,Roumeliotis,2010,Atmospheric Environment,Ontario,2005,2009,Multiple Years,Year-Round,Farm,Animal chamber,Poultry,Broilers,Indoor,NA,Liquid,NA,Storage,NA,F,T,F,F
174,Chantigny,2010,Journal of Environmental Quality,Quebec,2004,2006,Multiple Years,Growing,Field,Soil chamber,Swine,"Growers, Finishers",Indoor,NA,Liquid,"Digester, Solid-Liquid Separation",Field,Annual crop,F,F,T,F
175,Gilroyed,2010,Bioresource Technology,Alberta,NA,NA,Single Year,NA,Lab,Incubation,Beef Cattle,Whole herd,Indoor,NA,Liquid,Digester,Storage,NA,T,T,F,T
176,Tenuta,2010,"Agriculture, Ecosystems and Environment",Manitoba,2004,2006,Multiple Years,Year-Round,Field,Soil chamber,Swine,Whole herd,Indoor,NA,Liquid,NA,Field,Grass,T,T,T,F
177,Park,2010,Agricultural and Forest Meteorology,Ontario,2006,2006,Single Year,Growing,Farm,"Soil chamber, Micrometeorology",Swine,Whole herd,Indoor,NA,Liquid,NA,Storage,NA,F,T,F,F
178,Park,2010,Asian-Australasian Journal of Animal Sciences,Ontario,2001,2002,Single Year,Year-Round,Farm,Micrometeorology,Swine,Whole herd,Indoor,NA,Liquid,NA,Storage,NA,F,T,T,F
179,Huang,2010,Canadian Journal of Soil Science,Manitoba,NA,NA,Single Year,NA,Lab,"Incubation, Modelling",Swine,Sows,Indoor,NA,Liquid,Digester,Storage,NA,T,T,F,F
180,Wilson,2009,Canadian Journal of Animal Science,Manitoba,2004,2006,Multiple Years,Growing,Farm,Collar,Beef Cattle,Steers,Outdoor,NA,"Liquid, Solid",NA,Enteric,NA,F,T,F,F
181,VanderZaag,2009,Transactions of the ASABE,Nova Scotia,2007,2007,Single Year,Growing,Pilot,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,Liquid,"Agitation, Cover",Storage,NA,T,T,T,T
182,Hao,2009,Nutrient Cycling in Agroecosystems,Alberta,2006,2006,Single Year,Growing,Farm,Soil chamber,Beef Cattle,Cows,Indoor,NA,Solid,Compost,Storage,NA,T,T,T,F
183,Mkhabela,2009,"Agriculture, Ecosystems and Environment",Nova Scotia,2003,2004,Multiple Years,Growing,Field,Soil chamber,Swine,Whole herd,Indoor,NA,Liquid,NA,Field,Grass,F,F,T,T
184,Bhandral,2009,Journal of Environmental Quality,British Columbia,2005,2006,Multiple Years,Growing,Field,Micrometeorology,Dairy Cattle,Whole herd,Indoor,NA,Liquid,NA,Field,Annual crop,F,F,T,T
185,Miller,2009,Soil Science Society of America Journal,New Brunswick,2006,2006,Single Year,Growing,Lab,Incubation,Dairy Cattle,Whole herd,Indoor,NA,Liquid,NA,Field,NA,T,F,T,F
186,McGinn,2009,Canadian Journal of Animal Science,Alberta,2008,2008,Single Year,Growing,Farm,Collar,Beef Cattle,Steers,Indoor,Diet,Liquid,NA,Enteric,NA,F,T,F,F
187,Masse,2008,Transactions of the ASABE,Quebec,2007,2007,Single Year,Year-Round,Farm,Modelling,Dairy Cattle,Cows,Mixed,NA,Liquid,NA,Storage,NA,F,T,F,F
188,Mkhabela,2008,Soil and Tillage Research,Nova Scotia,2003,2005,Multiple Years,"Non-Growing, Year-Round","Field, Lab","Soil chamber, Incubation","Dairy Cattle, Beef Cattle",Whole herd,Indoor,NA,"Liquid, Solid",NA,Field,Annual crop,F,F,T,T
189,Stewart,2008,Canadian Journal of Animal Science,Manitoba,2004,2006,Multiple Years,Growing,Farm,Collar,Beef Cattle,Steers,Indoor,NA,"Liquid, Solid",NA,Enteric,NA,T,T,F,F
190,Rochette,2008,Canadian Journal of Soil Science,National,1990,2005,Multiple Years,Year-Round,Field,Modelling,"Dairy Cattle, Beef Cattle, Swine, Poultry, Sheep, Horse",Whole herd,Mixed,NA,"Liquid, Solid",NA,Field,"Annual crop, Grass, Perennial crop",F,F,T,F
191,Bhandral,2008,Canadian Journal of Soil Science,British Columbia,2001,2002,Multiple Years,Growing,"Field, Lab","Soil chamber, Incubation",Dairy Cattle,Whole herd,Indoor,NA,Liquid,NA,Field,Grass,F,F,T,F
192,McDonald,2008,Journal of Environmental Engineering and Science,Alberta,2005,2005,Single Year,Year-Round,Lab,Incubation,"Dairy Cattle, Swine, Poultry",Whole herd,Mixed,NA,"Liquid, Solid",Digester,Storage,NA,F,T,F,F
193,Ellert,2008,Canadian Journal of Soil Science,Alberta,2001,2003,Multiple Years,Year-Round,Field,Soil chamber,Beef Cattle,Whole herd,Outdoor,NA,Solid,NA,Field,Annual crop,T,T,T,F
194,Sey,2008,Soil Science Society of America Journal,Quebec,2002,2003,Multiple Years,Growing,Field,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,Solid,Compost,Field,Annual crop,T,F,T,F
195,Yang,2008,Nutrient Cycling in Agroecosystems,Ontario,NA,NA,Single Year,NA,Lab,Incubation,Swine,Whole herd,Indoor,NA,Liquid,NA,Field,NA,T,F,T,F
196,Gao,2008,Journal of the Air & Waste Management Association,Ontario,2006,2006,Single Year,Growing,Farm,Micrometeorology,NA,NA,Indoor,NA,"Liquid, Solid",NA,Storage,NA,F,T,F,F
197,Sun,2008,Journal of the Air & Waste Management Association,Saskatchewan,2004,2005,Single Year,Year-Round,Farm,Animal chamber,Swine,Whole herd,Indoor,NA,"Liquid, Solid",NA,Storage,NA,T,F,F,T
198,Smith,2008,Canadian Journal of Soil Science,Prince Edward Island,2003,2005,Multiple Years,Growing,Field,Soil chamber,Swine,Whole herd,Indoor,NA,"Liquid, Solid",NA,Field,Annual crop,F,F,T,T
199,Pattey,2008,Canadian Journal of Soil Science,Quebec,2003,2004,Single Year,Year-Round,Field,Micrometeorology,Dairy Cattle,Cows,Indoor,NA,Solid,Stockpile,Field,Annual crop,F,F,T,F
200,Mkhabela,2008,Canadian Journal of Soil Science,Nova Scotia,2005,2005,Single Year,Growing,Field,Soil chamber,Swine,"Sows, Growers",Indoor,NA,Liquid,NA,Field,Grass,F,F,T,F
201,Rochette,2008,Canadian Journal of Soil Science,Quebec,2002,2003,Multiple Years,Growing,Field,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,"Liquid, Solid",Stockpile,Field,Annual crop,F,F,T,F
202,Vergé,2007,Agricultural Systems,National,2001,2001,Single Year,Year-Round,LCA,Mixed,Dairy Cattle,Whole herd,Mixed,NA,"Liquid, Solid",NA,"Enteric, Storage, Field","Annual crop, Grass",F,T,T,F
203,Levin,2007,Bioresource Technology,National,2001,2001,Single Year,Year-Round,Farm,Modelling,"Dairy Cattle, Beef Cattle, Swine, Poultry",Whole herd,Mixed,NA,"Liquid, Solid",NA,Storage,NA,F,T,F,F
204,Hutchinson,2007,Canadian Journal of Soil Science,National,1981,2001,Multiple Years,Year-Round,Field,Modelling,"Dairy Cattle, Beef Cattle, Swine, Sheep, Poultry, Horse",Whole herd,Mixed,NA,"Liquid, Solid",NA,Field,"Annual crop, Perennial crop, Grass",F,F,T,F
205,Chantigny,2007,Journal of Environmental Quality,Quebec,2001,2003,Multiple Years,Growing,Field,Soil chamber,Swine,Finishers,Indoor,NA,Liquid,Solid-Liquid Separation,Field,Annual crop,F,F,T,T
206,Xu,2007,Journal of Environmental Quality,Alberta,2004,2005,Single Year,Year-Round,Field,Soil chamber,Beef Cattle,Whole herd,Outdoor,NA,Solid,Compost,Field,Grass,T,T,T,F
207,Xu,2007,Nutrient Cycling in Agroecosystems,Alberta,2004,2005,Single Year,Year-Round,Field,Soil chamber,Beef Cattle,Whole herd,Outdoor,NA,Solid,Compost,Field,Grass,T,T,T,F
208,Hao,2007,Nutrient Cycling in Agroecosystems,Alberta,2002,2003,Single Year,Year-Round,Field,Soil chamber,Beef Cattle,Whole herd,Outdoor,NA,Solid,Compost,Field,Grass,T,T,T,F
209,Hao,2007,Canadian Journal of Soil Science,Alberta,2002,2002,Single Year,Growing,Lab,Incubation,Beef Cattle,Steers,Indoor,Diet,Liquid,NA,Storage,NA,T,T,T,T
210,Angers,2007,Nutrient Cycling in Agroecosystems,Quebec,1998,1998,Single Year,Growing,Field,Soil chamber,Swine,Finishers,Indoor,NA,Liquid,NA,Field,NA,T,F,F,F
211,Wagner-Riddle,2006,Agricultural and Forest Meteorology,Ontario,2001,2002,Single Year,Year-Round,Farm,Micrometeorology,Swine,Whole herd,Indoor,NA,Liquid,NA,Storage,NA,F,T,T,F
212,Park,2006,Atmospheric Environment,Ontario,2000,2002,Multiple Years,Year-Round,Farm,Micrometeorology,Swine,Whole herd,Indoor,NA,Liquid,Agitation,Storage,NA,F,T,F,F
213,Mkhabela,2006,Chemosphere,Nova Scotia,2005,2005,Single Year,Growing,Lab,Incubation,Swine,Whole herd,Indoor,NA,Liquid,NA,Field,NA,F,F,T,T
214,Mkhabela,2006,Plant and soil,Nova Scotia,NA,NA,Single Year,Growing,Field,Soil chamber,Swine,Whole herd,Indoor,NA,Liquid,NA,Field,NA,F,F,T,T
215,Rochette,2006,Soil Science Society of America Journal,Quebec,2002,2003,Multiple Years,Growing,Field,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,"Liquid, Solid",Stockpile,Field,Annual crop,T,F,F,F
216,Lague,2005,Transactions of the American Society of Agricultural Engineers,Saskatchewan,2001,2003,Multiple Years,Growing,Farm,Soil chamber,Swine,"Growers, Finishers",Indoor,NA,Liquid,Cover,Storage,NA,T,T,T,F
217,Pattey,2005,Nutrient Cycling in Agroecosystems,Ontario,2003,2003,Multiple Years,Growing,Pilot,Soil chamber,"Dairy Cattle, Beef Cattle",Whole herd,Indoor,NA,"Liquid, Solid","Compost, Stockpile",Storage,NA,T,T,T,F
218,Pennock,2005,Canadian Journal of Soil Science,Saskatchewan,2001,2002,Single Year,Non-Growing,Field,Soil chamber,NA,NA,NA,NA,NA,NA,Field,Annual crop,F,F,T,F
219,Clark,2005,Journal of Environmental Quality,Alberta,2003,2004,Single Year,Year-Round,Pilot,Incubation,Swine,Whole herd,Indoor,Diet,Liquid,"Agitation, Digest",Storage,NA,T,T,T,F
220,Hao,2005,Journal of Environmental Quality,Alberta,2002,2002,Single Year,Growing,Field,Soil chamber,Beef Cattle,Steers,Outdoor,NA,Solid,"Acidification, Compost",Field,Grass,T,T,T,F
221,Helgason,2005,Canadian Journal of Soil Science,Alberta,NA,NA,Single Year,NA,Lab,Incubation,Beef Cattle,Whole herd,Outdoor,NA,Solid,Compost,Field,NA,T,F,F,F
222,Rochette,2004,Soil Science Society of America Journal,Quebec,1998,1999,Single Year,Year-Round,Field,Soil chamber,Swine,"Finishers, Sows",Indoor,NA,Liquid,NA,Field,Annual crop,T,F,T,F
223,Sommer,2004,Atmospheric Environment,Alberta,2003,2003,Single Year,Growing,Farm,"Soil chamber, Micrometeorology",Beef Cattle,Whole herd,Indoor,NA,Solid,Compost,Storage,NA,T,T,T,T
224,Thompson,2004,Envrionmental Monitoring and Assessment,Ontario,2000,2000,Single Year,Growing,Farm,Soil chamber,Swine,"Growers, Finishers",Indoor,NA,Liquid,Compost,Storage,NA,F,T,T,F
225,Boadi,2004,Canadian Journal of Animal Science,Manitoba,2001,2002,Single Year,Non-Growing,Farm,"Collar, Soil chamber",Beef Cattle,Steers,Indoor,Diet,"Liquid, Solid",Stockpile,"Enteric, Storage",NA,T,T,T,F
226,Yang,2004,Canadian Journal of Soil Science,Ontario,2001,2002,Single Year,Growing,Lab,Incubation,Swine,Whole herd,Indoor,NA,"Liquid, Solid",Compost,Field,Annual crop,F,F,T,F
227,Hao,2004,Journal of Environmental Quality,Alberta,2000,2000,Single Year,Growing,Farm,Soil chamber,Beef Cattle,Whole herd,Indoor,NA,Solid,Compost,Storage,NA,T,T,T,F
228,Masse,2003,Canadian Biosystems Engineering ,Quebec,2002,2002,Single Year,Growing,Lab,Incubation,"Dairy Cattle, Swine","Cows, Growers, Finishers",Indoor,NA,Liquid,NA,Field,NA,F,T,F,F
229,Lalande,2003,Canadian Journal of Soil Science,Quebec,1997,1997,Single Year,Growing,Lab,Incubation,Swine,Finishers,Indoor,NA,Liquid,Compost,Field,NA,T,F,F,F
230,Yang,2003,Canadian Journal of Soil Science,Ontario,NA,NA,Single Year,NA,Lab,Incubation,Swine,Whole herd,Indoor,NA,Liquid,Compost,Field,Annual crop,T,F,T,F
231,Masse,2003,Bioresource Technology,Quebec,NA,NA,Single Year,NA,Lab,Incubation,Swine,"Growers, Finishers",Indoor,NA,Liquid,"Agitation, Digester, Solid-Liquid Separation",Storage,NA,T,T,F,T
232,Nohra,2003,"Resources, Conservation & Recycling",Quebec,NA,NA,Single Year,NA,Lab,Incubation,Swine,Finisher,Indoor,NA,Liquid,"Digester, Solid-Liquid Separation",Storage,NA,F,T,F,T
233,Brown,2002,Nutrient Cycling in Agroecosystems,Ontario,1998,1998,Single Year,Growing,Farm,Micrometeorology,Dairy Cattle,"Cows, Calves",Indoor,NA,Solid,Stockpile,Storage,NA,F,F,T,F
234,Chantigny,2002,Soil Biology and Biochemistry,Quebec,1998,1998,Single Year,Non-Growing,Lab,Incubation,"Dariy Cattle, Swine",Whole herd,Indoor,NA,"Liquid, Solid","Solid-Liquid Separation, Stockpile",Field,NA,T,F,T,F
235,Yang,2002,Canadian Journal of Soil Science,Ontario,NA,NA,Single Year,NA,Lab,Incubation,Swine,Whole herd,Indoor,NA,Liquid,Compost,Field,NA,T,F,T,F
236,Van Bochove,2001,Journal of Geophysical Research Atmospheres,Quebec,1998,1999,Single Year,Non-Growing,Field,Soil chamber,Swine,Sows,Indoor,NA,Liquid,NA,Field,Annual crop,F,F,T,F
237,Hao,2001,Journal of Environmental Quality,Alberta,1997,1997,Single Year,Growing,Farm,Soil chamber,Beef Cattle,Whole herd,Outdoor,NA,Solid,Compost,Storage,NA,T,T,T,F
238,Chantigny,2001,Canadian Journal of Soil Science,Quebec,1998,1998,Single Year,Growing,Field,Soil chamber,Swine,Whole herd,Indoor,NA,Liquid,NA,Field,NA,T,F,T,F
239,Kaharabata,2000,Environmental Science and Technology,Ontario,1996,1996,Single Year,Growing,Farm,Micrometeorology,Dairy Cattle,Heifers,Indoor,NA,"Liquid, Solid",NA,"Enteric, Storage",NA,F,T,F,F
240,Masse,2000,Bioresource Technology,Quebec,NA,NA,Single Year,NA,Lab,Incubation,Swine,Growers,Indoor,Antibiotics,"Liquid, Solid",Digester,Storage,NA,F,T,F,T
241,Masse,2000,Water Research,Quebec,NA,NA,Single Year,NA,Lab,Modelling,Swine,"Growers, Finishers",Indoor,NA,Liquid,Digester,Storage,NA,F,T,F,F
242,Rochette,2000,Canadian Journal of Soil Science,Quebec,1997,1997,Single Year,Growing,Field,Soil chamber,Swine,"Sows, Growers",Indoor,NA,Liquid,NA,Field,Annual crop,F,T,F,F
243,Rochette,2000,Soil Science Society of America Journal,Quebec,1997,1998,Single Year,Year-Round,Field,Soil chamber,Swine,"Sows, Growers",Indoor,NA,Liquid,NA,Field,Annual crop,T,F,F,F
244,Rochette,2000,Soil Science Society of America Journal,Quebec,1997,1998,Single Year,Year-Round,Field,Soil chamber,Swine,"Sows, Growers",Indoor,NA,Liquid,NA,Field,Annual crop,F,F,T,F
245,Tenuta,2000,Communications in Soil Science and Plant Analysis,Ontario,1993,1993,Single Year,Growing,Lab,Incubation,"Dairy Cattle, Beef Cattle",Whole herd,Indoor,NA,"Soild, Liquid",NA,Field,Annual crop,T,F,T,F
246,Brown,2000,Journal of Environmental Quality,Ontario,1998,1998,Single Year,Non-Growing,Lab,Incubation,Dairy Cattle,Whole herd,Indoor,NA,Solid,Stockpile,Storage,NA,F,F,T,F
247,Lemke,1999,Canadian Journal of Soil Science,Alberta,1993,1995,Multiple Years,Growing,Field,Soil chamber,Sheep,Whole herd,Indoor,NA,Solid,NA,Field,Annual crop,F,F,T,F
248,Kaharabata,1998,Global Biogeochemical Cycles,Quebec,1995,1996,Single Year,Year-Round,Farm,Animal chamber,"Dairy Cattle, Swine",Whole herd,Indoor,NA,Liquid,Agitation,Storage,NA,F,T,F,F
249,Gregorich,1998,Journal of Environmental Quality,Ontario,1992,1992,Single Year,Growing,Field,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,Solid,Stockpile,Field,Annual crop,T,F,F,F
250,Wagner-Riddle,1998,Nutrient Cycling in Agroecosystems,Ontario,1993,1996,Multiple Years,Non-Growing,Field,Micrometeorology,Dairy Cattle,Whole herd,Indoor,NA,Liquid,NA,Field,Annual crop,F,F,T,F
251,Chang,1998,Soil Science Society of America Journal,Alberta,1993,1994,Single Year,Year-Round,Field,Soil chamber,Beef Cattle,Whole herd,Outdoor,NA,Solid,Stockpile,Field,Annual crop,F,F,T,F
252,Rochette,1998,Canadian Journal of Soil Science,Ontario,1994,1994,Single Year,Growing,Field,Soil chamber,Dairy Cattle,Cows,Indoor,NA,Solid,"Compost, Stockpile",Field,Annual crop,T,F,F,F
253,Wagner-Riddle,1997,Canadian Journal of Soil Science,Ontario,1992,1995,Multiple Years,Year-Round,Field,Micrometeorology,Dairy Cattle,Whole herd,Indoor,NA,Liquid,NA,Field,Grass,F,F,T,F
254,Lessard,1997,Canadian Journal of Soil Science,Ontario,1993,1994,Multiple Years,Growing,Field,Soil chamber,Dairy Cattle,"Cows, Heifers, Calves",Indoor,NA,Solid,Stockpile,Field,Annual crop,F,T,F,F
255,Loro,1997,Journal of Environmental Quality,Ontario,1991,1993,Multiple Years,Growing,Lab,Incubation,"Dairy Cattle, Beef Cattle",Whole herd,Indoor,NA,"Soild, Liquid",NA,Field,Annual crop,T,F,T,F
256,Lessard,1996,Journal of Environmental Quality,Ontario,1993,1993,Single Year,Growing,Field,Soil chamber,Dairy Cattle,"Cows, Heifers, Calves",Indoor,NA,Solid,Stockpile,Field,Annual crop,F,F,T,F
257,Masse,1996,Canadian Journal of Civil Engineering,Quebec,NA,NA,Single Year,NA,Lab,Incubation,Swine,"Growers, Finishers",Indoor,NA,Liquid,Digest,Storage,NA,F,T,F,F
258,Kinsman,1995,Journal of Dairy Science,Ontario,1993,1993,Single Year,Growing,Farm,Animal chamber,Dairy Cattle,Cows,Indoor,NA,"Soild, Liquid",NA,"Enteric, Storage",NA,T,T,F,F
